"年級","班級","班級販賣產品","",""
"3年級","1","1.棉花糖杯 2.未拆封盲盒 3.抽抽樂(洞洞樂( 4.手工餅乾 5.奧特曼玩具","",""
"3年級","2","1檸檬水香蕉牛奶、手工餅乾、娃娃、糖葫蘆2遊戲投雞蛋抽龍珠蛋仔派對、塞車","",""
"3年級","3","飲料、餅乾、遊戲","",""
"3年級","4","抽抽樂、射擊遊戲、套套圈、賣布偶、小寶石。","",""
"3年級","5","多樣遊戲項目","",""
"3年級","6","飲料、餅乾、糖果、小飾品等","",""
"3年級","7","珍奶，茶葉蛋，滷豆干，戳戳樂，遊戲，水果，餅乾","",""
"3年級","8","棉花糖，洞洞樂，古早味童玩。","",""
"4年級","1","射擊遊戲、乒乓球遊戲、布丁奶茶","",""
"4年級","2","二手商品、冰淇淋、飲料","",""
"4年級","3","手做餅乾、寶可夢卡、抽抽樂、打彈珠，手工飾品","",""
"4年級","4","甜甜圈鬆餅、紅茶┬冬瓜茶","",""
"4年級","5","二手物品. 遊戲卡. 飲品. 精油.小玩具....","",""
"4年級","6","梅子可樂、茶葉蛋、冬瓜茶、手工吊飾、手工餅乾、杯子蛋糕、綠豆冰、30秒作畫","",""
"4年級","7","套圈圈和搓搓樂","",""
"4年級","8","奶酪,遊戲攤(保齡球,許願池,乒乓球,彈彈樂,套圈圈)","",""
"5年級","1","玩具、娃娃、桌球遊戲","",""
"5年級","2","保齡球遊戲、DIY冰沙、飲料、果凍","",""
"5年級","3","飲食 遊戲","",""
"5年級","4","乾冰汽水、糖果、卡牌、糖葫蘆、薯條、麵包、飲料、套圈圈遊戲","",""
"5年級","5","二手商品","",""
"5年級","6","飲料，點心","",""
"5年級","7","墨西哥捲、飲料、果汁、冰淇淋、火雞麵、豆花、套圈圈、紙棒球九宮格","",""
"5年級","8","二手物品、泰式奶茶、手工餅乾、拼豆、抽抽樂、糖果、小餅乾","",""
"5年級","9","套圈圈、冬瓜茶","",""
"6年級","1","飲料，糖果，餅乾","",""
"6年級","2","套圈圈、飲料、盲盒","",""
"6年級","3","冰棒 餅乾 髮飾","",""
"6年級","4","飲料、餅乾","",""
"6年級","5","二手商品、手作小物、飲料","",""
"6年級","6","戳戳樂、飲料、卡片","",""
"6年級","7","飲料、遊戲","",""
"6年級","8","飲料、冰","",""
"6年級","9","遊戲，炒米粉、棉花糖","",""
"朝陽班","","布蕾、奶酪、扭蛋、二手拍、蝶豆花汽水","",""
